Time,Open,High,Low,Close,Volume
2022-09-21 19:35:00,144.422,144.424,144.36,144.367,380
2022-09-21 19:40:00,144.376,144.396,144.358,144.378,174
2022-09-21 19:45:00,144.378,144.428,144.37,144.395,259
2022-09-21 19:50:00,144.396,144.398,144.286,144.304,500
2022-09-21 19:55:00,144.3,144.328,144.186,144.244,648
2022-09-21 20:00:00,144.24,144.34,144.232,144.234,984
2022-09-21 20:05:00,144.236,144.272,144.16,144.254,693
2022-09-21 20:10:00,144.256,144.308,144.19,144.304,560
2022-09-21 20:15:00,144.303,144.324,144.27,144.275,744
2022-09-21 20:20:00,144.272,144.28,144.197,144.232,461
2022-09-21 20:25:00,144.239,144.314,144.239,144.285,460
2022-09-21 20:30:00,144.282,144.313,144.238,144.308,726
2022-09-21 20:35:00,144.31,144.336,144.226,144.24,596
2022-09-21 20:40:00,144.238,144.326,144.213,144.216,677
2022-09-21 20:45:00,144.217,144.282,144.152,144.276,739
2022-09-21 20:50:00,144.274,144.422,144.264,144.408,881
2022-09-21 20:55:00,144.404,144.467,144.394,144.419,933
2022-09-21 21:00:00,144.421,144.43,144.344,144.368,941
2022-09-21 21:05:00,144.367,144.381,144.303,144.35,789
2022-09-21 21:10:00,144.354,144.422,144.304,144.338,823
2022-09-21 21:15:00,144.338,144.416,144.311,144.32,966
2022-09-21 21:20:00,144.322,144.39,144.322,144.371,964
2022-09-21 21:25:00,144.37,144.381,144.295,144.306,704
2022-09-21 21:30:00,144.296,144.358,144.266,144.344,838
2022-09-21 21:35:00,144.348,144.374,144.297,144.339,533
2022-09-21 21:40:00,144.337,144.356,144.29,144.334,494
2022-09-21 21:45:00,144.334,144.378,144.33,144.35,444
2022-09-21 21:50:00,144.349,144.408,144.334,144.408,539
2022-09-21 21:55:00,144.412,144.49,144.388,144.428,650
2022-09-21 22:00:00,144.43,144.48,144.43,144.449,731
2022-09-21 22:05:00,144.448,144.483,144.418,144.482,662
2022-09-21 22:10:00,144.482,144.62,144.475,144.574,951
2022-09-21 22:15:00,144.578,144.58,144.475,144.478,634
2022-09-21 22:20:00,144.478,144.522,144.442,144.512,794
2022-09-21 22:25:00,144.514,144.522,144.454,144.488,771
2022-09-21 22:30:00,144.49,144.516,144.444,144.512,678
2022-09-21 22:35:00,144.51,144.558,144.491,144.494,498
2022-09-21 22:40:00,144.495,144.542,144.462,144.487,528
2022-09-21 22:45:00,144.488,144.496,144.439,144.442,477
2022-09-21 22:50:00,144.442,145.263,144.382,145.21,2948
2022-09-21 22:55:00,145.209,145.398,143.515,144.57,3168
2022-09-21 23:00:00,144.58,144.816,144.229,144.734,2093
2022-09-21 23:05:00,144.737,144.787,144.662,144.706,1704
2022-09-21 23:10:00,144.706,144.965,144.619,144.938,1300
2022-09-21 23:15:00,144.936,144.942,144.828,144.854,1015
2022-09-21 23:20:00,144.854,144.924,144.812,144.868,964
2022-09-21 23:25:00,144.866,144.896,144.849,144.851,904
2022-09-21 23:30:00,144.85,144.884,144.517,144.78,1337
2022-09-21 23:35:00,144.78,144.781,144.711,144.756,830
2022-09-21 23:40:00,144.757,144.778,144.656,144.685,728
2022-09-21 23:45:00,144.686,144.745,144.68,144.716,545
2022-09-21 23:50:00,144.72,144.801,144.714,144.756,555
2022-09-21 23:55:00,144.751,144.874,144.751,144.856,640
2022-09-22 00:00:00,144.848,144.889,144.79,144.859,766
2022-09-22 00:05:00,144.858,144.922,144.836,144.85,562
2022-09-22 00:10:00,144.854,144.882,144.804,144.866,534
2022-09-22 00:15:00,144.867,144.948,144.844,144.845,521
2022-09-22 00:20:00,144.847,144.875,144.632,144.692,937
2022-09-22 00:25:00,144.697,144.764,144.682,144.71,535
2022-09-22 00:30:00,144.706,144.862,144.632,144.724,877
2022-09-22 00:35:00,144.726,144.863,144.713,144.861,657
2022-09-22 00:40:00,144.863,144.87,144.802,144.868,668
2022-09-22 00:45:00,144.86,144.895,144.796,144.824,612
2022-09-22 00:50:00,144.822,144.832,144.73,144.796,803
2022-09-22 00:55:00,144.798,144.844,144.761,144.81,639
2022-09-22 01:00:00,144.808,144.85,144.76,144.767,500
2022-09-22 01:05:00,144.767,144.84,144.757,144.811,494
2022-09-22 01:10:00,144.808,144.874,144.782,144.849,520
2022-09-22 01:15:00,144.848,144.904,144.844,144.85,801
2022-09-22 01:20:00,144.849,144.877,144.779,144.8,683
2022-09-22 01:25:00,144.8,144.841,144.778,144.82,495
2022-09-22 01:30:00,144.818,144.87,144.818,144.829,814
2022-09-22 01:35:00,144.83,144.91,144.83,144.86,695
2022-09-22 01:40:00,144.862,145.039,144.859,144.936,651
2022-09-22 01:45:00,144.938,144.978,144.899,144.952,575
2022-09-22 01:50:00,144.952,144.966,144.902,144.92,553
2022-09-22 01:55:00,144.92,145.046,144.916,144.929,857
2022-09-22 02:00:00,144.926,144.951,144.858,144.896,710
2022-09-22 02:05:00,144.894,145.002,144.875,144.966,674
2022-09-22 02:10:00,144.966,145.195,144.966,145.183,1136
2022-09-22 02:15:00,145.182,145.272,145.166,145.268,1041
2022-09-22 02:20:00,145.267,145.318,145.224,145.247,1014
2022-09-22 02:25:00,145.242,145.358,145.204,145.204,944
2022-09-22 02:30:00,145.203,145.296,145.168,145.287,907
2022-09-22 02:35:00,145.286,145.448,144.99,145.144,1754
2022-09-22 02:40:00,145.144,145.298,145.143,145.294,1419
2022-09-22 02:45:00,145.291,145.373,145.248,145.348,1372
2022-09-22 02:50:00,145.346,145.477,145.342,145.435,1434
2022-09-22 02:55:00,145.432,145.668,145.399,145.661,1530
2022-09-22 03:00:00,145.657,145.901,145.612,145.871,1742
2022-09-22 03:05:00,145.871,145.893,145.661,145.715,1616
2022-09-22 03:10:00,145.707,145.84,145.68,145.736,1467
2022-09-22 03:15:00,145.737,145.84,145.692,145.806,1311
2022-09-22 03:20:00,145.801,145.834,145.752,145.766,1252
2022-09-22 03:25:00,145.767,145.814,145.706,145.746,1107
2022-09-22 03:30:00,145.746,145.831,145.707,145.79,1897
2022-09-22 03:35:00,145.791,145.902,145.772,145.864,1621
2022-09-22 03:40:00,145.866,145.894,145.586,145.737,1685
2022-09-22 03:45:00,145.736,145.772,145.601,145.682,1109
2022-09-22 03:50:00,145.684,145.753,145.683,145.714,996
2022-09-22 03:55:00,145.714,145.784,145.706,145.778,662
2022-09-22 04:00:00,145.778,145.846,143.919,144.296,1521
2022-09-22 04:05:00,144.298,144.777,144.14,144.382,3376
2022-09-22 04:10:00,144.38,144.45,143.945,144.219,3403
2022-09-22 04:15:00,144.213,144.214,143.096,143.103,3712
2022-09-22 04:20:00,143.087,143.087,142.471,142.799,3537
2022-09-22 04:25:00,142.8,143.652,142.611,142.858,3331
2022-09-22 04:30:00,142.868,143.062,142.083,142.1,3027
2022-09-22 04:35:00,142.101,142.568,142.1,142.154,2870
2022-09-22 04:40:00,142.154,142.166,140.781,140.989,3336
2022-09-22 04:45:00,140.992,141.916,140.682,141.8,3025
2022-09-22 04:50:00,141.8,142.078,141.456,141.982,2455
2022-09-22 04:55:00,141.984,142.248,141.906,142.087,2188
2022-09-22 05:00:00,142.086,142.25,141.866,142.208,2147
2022-09-22 05:05:00,142.212,142.391,142.08,142.388,1705
2022-09-22 05:10:00,142.388,142.388,142.099,142.31,1315
2022-09-22 05:15:00,142.32,142.62,142.23,142.416,1649
2022-09-22 05:20:00,142.415,142.526,142.269,142.472,1270
2022-09-22 05:25:00,142.47,142.503,142.272,142.292,1288
2022-09-22 05:30:00,142.294,142.766,142.243,142.76,1304
2022-09-22 05:35:00,142.758,142.848,142.512,142.636,1735
2022-09-22 05:40:00,142.634,142.91,142.625,142.79,1618
2022-09-22 05:45:00,142.79,143.0,142.728,142.886,1359
2022-09-22 05:50:00,142.886,143.086,142.714,143.084,1508
2022-09-22 05:55:00,143.085,143.398,143.064,143.21,1548
2022-09-22 06:00:00,143.21,143.21,142.746,142.875,1368
2022-09-22 06:05:00,142.875,143.116,142.745,143.032,1561
2022-09-22 06:10:00,143.021,143.091,142.936,142.987,1206
2022-09-22 06:15:00,142.987,143.07,142.797,142.939,1260
2022-09-22 06:20:00,142.94,143.01,142.86,142.949,986
2022-09-22 06:25:00,142.949,142.971,142.797,142.891,1043
